Fiscal Year,2015,2016,2017,2018,2019
Period Ended,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-4.17,-4.59,-4.66,-1.40,-1.89
Depreciation/Depletion,0.40,0.31,0.21,0.01,0.01
Non-Cash Items,3.84,0.90,2.14,-0.21,-0.16
Cash Taxes Paid,0.38,-0.01,0.02,0,0
Changes in Working Capital,-0.60,1.35,0.35,0.32,0.94
Cash from Operating Activities,-0.50,-1.99,-1.96,-1.27,-1.10
Capital Expenditures,-0.10,-0.00,-0.00,0.00,-0.02
"Other Investing Cash Flow Items, Total",2.34,0.32,-0.04,2.47,-14.17
Cash from Investing Activities,2.24,0.32,-0.04,2.47,-14.18
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.79,-0.00,0.45,0.13,0.02
Foreign Exchange Effects,-0.64,-0.23,0.45,-0.20,0.00
Net Change in Cash,0.32,-1.90,-1.10,1.13,-15.27
