Fiscal Year,2016,2018,2019,2020,2021
Period Ended,31 Dec 2016,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.61,1.88,2.89,-9.15,-10.00
Depreciation/Depletion,4.18,5.47,3.92,5.69,5.44
Non-Cash Items,4.18,5.99,3.92,-0.57,1.86
Cash Taxes Paid,1.88,1.11,0.75,0.59,0.59
Changes in Working Capital,-4.11,-4.11,-6.57,7.24,3.40
Cash from Operating Activities,4.86,9.22,4.17,3.21,0.69
Capital Expenditures,-1.79,-0.64,-2.21,-9.95,-1.91
"Other Investing Cash Flow Items, Total",1.76,-0.06,2.50,0.17,0.01
Cash from Investing Activities,-0.03,-0.69,0.29,-9.78,-1.91
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,3.30,0.00
Cash from Financing Activities,-4.93,-8.54,-6.16,11.32,-0.42
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-0.09,-0.02,-1.70,4.76,-1.64
