Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,24.54,19.83,17.19,13.31,12.26
Total Revenue,24.54,19.83,17.19,13.31,12.26
"Selling/General/Admin. Expenses, Total",2.70,2.48,3.53,4.03,3.14
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",7.92,35.11,39.09,20.18,0.66
Total Operating Expense,19.83,46.26,52.14,30.87,7.83
Operating Income,4.70,-26.42,-34.96,-17.56,4.43
"Interest Inc.(Exp.),Net-Non-Op., Total",-3.47,-4.93,-5.43,-7.76,-4.64
"Other, Net",0,0,0,0,-0.04
Net Income Before Taxes,1.24,-31.35,-40.38,-25.32,-0.25
Provision for Income Taxes,0.00,0.01,1.33,1.43,1.77
Net Income After Taxes,1.23,-31.36,-41.71,-26.75,-2.02
Net Income Before Extra. Items,1.26,-31.36,-42.02,-25.25,-2.37
Net Income,1.26,-31.36,-42.02,-25.25,-2.37
Income Available to Com Excl ExtraOrd,1.26,-31.36,-42.35,-25.58,-2.73
Income Available to Com Incl ExtraOrd,1.26,-31.36,-42.35,-25.58,-2.73
Diluted Net Income,1.26,-31.36,-42.35,-25.58,-2.73
Diluted Weighted Average Shares,13762.96,13138.21,13166.39,13169.07,13656.70
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,-0.00,-0.00,-0.00
