Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,8.33,16.33,16.05,7.66,0.63
Total Revenue,8.33,16.33,16.05,7.66,0.63
"Selling/General/Admin. Expenses, Total",6.08,5.49,5.97,5.97,6.83
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),97.59,0.50,-0.88,0.00,0.02
"Other Operating Expenses, Total",-4.44,-0.52,-0.69,-0.09,0.28
Total Operating Expense,105.51,22.67,20.50,14.02,7.52
Operating Income,-97.19,-6.34,-4.44,-6.36,-6.90
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.77,-0.05,-0.08
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-97.19,-6.34,-5.22,-6.42,-6.98
Provision for Income Taxes,-0.00,0.07,-0.02,0.00,-0.01
Net Income After Taxes,-97.18,-6.41,-5.19,-6.42,-6.96
Net Income Before Extra. Items,-97.18,-6.41,-4.84,-6.03,-5.89
Net Income,-97.69,-6.59,-4.84,-6.03,-5.89
Income Available to Com Excl ExtraOrd,-97.18,-6.41,-4.84,-6.03,-5.89
Income Available to Com Incl ExtraOrd,-97.69,-6.59,-4.84,-6.03,-5.89
Diluted Net Income,-97.69,-6.59,-4.84,-6.03,-5.89
Diluted Weighted Average Shares,4070.94,4669.78,7092.09,17368.95,17824.18
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.00,-0.00,-0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,-0.00,-0.00,-0.00,-0.00
