Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,872.40,972.34,966.98,1050.94,1230.23
Total Revenue,872.40,972.34,966.98,1050.94,1230.23
"Selling/General/Admin. Expenses, Total",208.50,274.98,269.72,223.97,215.13
Depreciation/Amortisation,7.40,11.31,13.06,77.98,78.93
Unusual Expense (Income),13.31,4.50,7.23,2.02,0.97
"Other Operating Expenses, Total",-76.42,-77.91,-77.05,-92.51,-91.33
Total Operating Expense,723.31,890.21,901.81,973.10,1152.31
Operating Income,149.09,82.13,65.17,77.83,77.92
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,149.09,82.13,65.17,77.83,77.92
Provision for Income Taxes,51.27,27.93,24.71,25.65,22.69
Net Income After Taxes,97.82,54.20,40.46,52.19,55.24
Net Income Before Extra. Items,97.82,54.20,40.46,52.19,55.24
Net Income,97.82,54.20,40.46,52.19,55.24
Income Available to Com Excl ExtraOrd,97.82,54.20,40.46,52.19,55.24
Income Available to Com Incl ExtraOrd,97.82,54.20,40.46,52.19,55.24
Diluted Net Income,97.82,54.20,40.46,52.19,55.24
Diluted Weighted Average Shares,196.06,192.45,191.83,191.83,191.79
Diluted EPS Excluding ExtraOrd Items,0.50,0.28,0.21,0.27,0.29
DPS - Common Stock Primary Issue,0.24,0.12,0.13,0.16,0.15
Diluted Normalised EPS,0.54,0.30,0.23,0.28,0.29
