Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,5.79,4.19,5.48,5.55,7.57
Short Term Investments,0.50,0.46,16.08,11.41,8.49
Cash and Short Term Investments,6.29,4.65,21.56,16.96,16.06
"Accounts Receivable - Trade, Net",9.03,7.91,9.12,24.64,17.95
"Total Receivables, Net",9.90,10.53,10.29,26.35,19.66
Prepaid Expenses,0.11,0.32,0.12,0.26,0.25
"Other Current Assets, Total",0.19,1.29,0.23,0.29,0.19
Total Current Assets,25.48,28.04,47.65,57.94,52.13
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",15.75,36.78,32.45,46.63,45.00
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.60,0.50,0.40,0.64,0.24
Long Term Investments,0.24,0.33,9.66,9.68,8.57
Total Assets,44.29,67.77,92.63,117.21,108.39
Accounts Payable,2.29,2.38,3.42,7.77,6.46
Accrued Expenses,2.35,2.27,4.95,5.30,5.21
Notes Payable/Short Term Debt,4.06,4.05,5.84,9.16,9.27
"Other Current liabilities, Total",1.61,1.45,2.21,2.45,2.56
Total Current Liabilities,18.15,25.23,19.81,29.28,27.18
Total Long Term Debt,0.95,17.13,16.15,31.95,33.63
Total Debt,12.85,36.25,25.39,45.71,46.59
Deferred Income Tax,0.01,0.01,2.07,2.47,2.19
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,21.18,44.38,40.05,65.87,65.18
"Common Stock, Total",19.26,19.26,19.26,19.68,19.68
Retained Earnings (Accumulated Deficit),6.55,6.93,29.20,27.78,20.40
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0.00,6.99,7.00,5.88
"Other Equity, Total",-2.71,-2.81,-2.88,-3.12,-2.76
Total Equity,23.11,23.39,52.58,51.34,43.20
Total Liabilities & Shareholders' Equity,44.29,67.77,92.63,117.21,108.39
Total Common Shares Outstanding,108.48,108.48,108.48,111.46,111.46
"Tangible Book Value per Share, Common Eq",0.21,0.21,0.48,0.45,0.39
