Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-1.60,0.50,25.71,-1.01,-6.99
Depreciation/Depletion,1.50,1.31,1.90,2.77,2.91
Non-Cash Items,0.84,-1.74,-30.38,0.95,3.64
Cash Taxes Paid,0.12,0.14,0.35,-0.09,0.06
Changes in Working Capital,1.14,2.45,6.38,3.75,9.51
Cash from Operating Activities,1.97,2.61,3.70,6.87,9.26
Capital Expenditures,-1.37,-23.69,-2.05,-0.30,-0.23
"Other Investing Cash Flow Items, Total",1.05,-0.08,35.31,-12.28,0.02
Cash from Investing Activities,-0.32,-23.77,33.25,-12.58,-0.20
Total Cash Dividends Paid,0.00,0.00,-3.45,0.00,-0.20
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.34,19.44,-20.05,-7.04,-10.21
Foreign Exchange Effects,-0.01,-0.02,0.00,0.02,0.01
Net Change in Cash,1.31,-1.73,16.91,-12.73,-1.15
