Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,39.16,37.14,40.79,70.61,54.57
Total Revenue,39.16,37.14,40.79,70.61,54.57
"Selling/General/Admin. Expenses, Total",11.54,11.21,16.52,20.93,17.14
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.02,0.04,-29.05,0.27,0.09
"Other Operating Expenses, Total",-0.71,-0.90,-2.70,-2.81,-1.43
Total Operating Expense,40.37,36.25,14.24,70.17,60.32
Operating Income,-1.21,0.88,26.55,0.44,-5.75
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.39,-0.38,-0.84,-1.45,-1.24
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-1.60,0.50,25.71,-1.01,-6.99
Provision for Income Taxes,-0.19,0.26,0.03,0.39,0.14
Net Income After Taxes,-1.41,0.24,25.68,-1.41,-7.14
Net Income Before Extra. Items,-1.18,0.38,25.72,-1.43,-7.18
Net Income,-1.18,0.38,25.72,-1.43,-7.18
Income Available to Com Excl ExtraOrd,-1.18,0.38,25.72,-1.43,-7.18
Income Available to Com Incl ExtraOrd,-1.18,0.38,25.72,-1.43,-7.18
Diluted Net Income,-1.18,0.38,25.72,-1.43,-7.18
Diluted Weighted Average Shares,108.48,108.48,108.48,110.60,111.46
Diluted EPS Excluding ExtraOrd Items,-0.01,0.00,0.24,-0.01,-0.06
DPS - Common Stock Primary Issue,0.00,0.00,0.03,0.00,0.00
Diluted Normalised EPS,-0.01,0.00,0.06,-0.01,-0.06
