Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.58,-7.62,-8.64,-10.17,-10.47
Depreciation/Depletion,5.03,1.87,0.91,1.32,6.06
Non-Cash Items,3.58,-1.34,-1.64,3.63,-0.13
Cash Taxes Paid,0.63,-0.06,0.03,-0.29,0.06
Changes in Working Capital,11.50,-4.17,2.84,1.67,-6.02
Cash from Operating Activities,13.18,-11.05,-6.40,-3.50,-10.52
Capital Expenditures,-11.05,-2.23,-0.87,-0.07,-0.31
"Other Investing Cash Flow Items, Total",0.15,0.41,11.38,0.24,1.94
Cash from Investing Activities,-10.90,-1.82,10.51,0.17,1.63
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",-0.04,0,0,5.81,12.04
Cash from Financing Activities,-0.70,-1.35,-6.75,5.93,8.80
Foreign Exchange Effects,-0.32,-0.62,-0.14,-0.03,-0.06
Net Change in Cash,1.26,-14.84,-2.78,2.57,-0.15
