Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,34.67,19.15,39.55,39.10,23.88
Total Revenue,34.67,19.15,39.55,39.10,23.88
"Selling/General/Admin. Expenses, Total",8.00,9.20,15.98,15.61,12.65
Depreciation/Amortisation,4.53,3.56,5.04,4.69,4.14
Unusual Expense (Income),0.10,-0.25,1.97,0.00,3.84
"Other Operating Expenses, Total",1.43,-0.07,-0.56,-0.09,-0.18
Total Operating Expense,23.37,17.37,35.41,32.85,28.93
Operating Income,11.30,1.78,4.13,6.25,-5.06
"Interest Inc.(Exp.),Net-Non-Op., Total",1.01,0.74,0.46,0.62,0.08
"Other, Net",0,0,0,0,0
Net Income Before Taxes,12.31,2.52,4.59,6.87,-4.97
Provision for Income Taxes,0.79,-0.78,1.58,1.40,-0.19
Net Income After Taxes,11.52,3.30,3.01,5.47,-4.78
Net Income Before Extra. Items,9.09,2.78,1.68,4.44,-3.54
Net Income,9.09,2.78,1.68,4.44,-3.54
Income Available to Com Excl ExtraOrd,9.09,2.78,1.68,4.44,-3.54
Income Available to Com Incl ExtraOrd,9.09,2.78,1.68,4.44,-3.54
Diluted Net Income,9.09,2.78,1.68,4.44,-3.54
Diluted Weighted Average Shares,407.29,407.14,406.84,407.69,407.69
Diluted EPS Excluding ExtraOrd Items,0.02,0.01,0.00,0.01,-0.01
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalised EPS,0.02,0.01,0.01,0.01,-0.00
