Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,166.27,3.90,3.60,2.76,1.73
Total Revenue,166.27,3.90,3.60,2.76,1.73
"Selling/General/Admin. Expenses, Total",107.80,3.41,3.44,9.86,1.47
Depreciation/Amortisation,8.09,0.26,0.13,0.24,0.33
Unusual Expense (Income),2.33,0.00,-0.00,0,0
"Other Operating Expenses, Total",-0.02,1.13,-0.15,-1.56,-1.10
Total Operating Expense,176.00,6.33,4.93,9.54,1.43
Operating Income,-9.73,-2.43,-1.32,-6.78,0.29
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-9.73,-2.43,-1.32,-6.78,0.29
Provision for Income Taxes,1.21,0.19,0.19,0.36,0.05
Net Income After Taxes,-10.94,-2.61,-1.51,-7.14,0.25
Net Income Before Extra. Items,-10.91,-2.59,-1.50,-7.14,0.25
Net Income,-10.91,-68.75,-9.97,-20.96,0.25
Income Available to Com Excl ExtraOrd,-10.91,-2.59,-1.50,-7.14,0.25
Income Available to Com Incl ExtraOrd,-10.91,-68.75,-9.97,-20.96,0.25
Diluted Net Income,-10.91,-68.75,-9.97,-20.96,0.25
Diluted Weighted Average Shares,246.64,250.61,250.61,250.61,250.61
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.01,-0.01,-0.03,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.04,-0.01,-0.01,-0.03,0.00
