Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.82,-2.48,-1.30,-3.81,-2.56
Depreciation/Depletion,0.46,0.31,0.44,1.15,0
Non-Cash Items,0.18,-0.43,-1.39,0.45,1.55
Cash Taxes Paid,0.32,0.20,0.26,0.32,0.31
Changes in Working Capital,-0.02,-0.52,0.42,1.13,1.10
Cash from Operating Activities,-2.20,-3.13,-1.83,-0.82,0.32
Capital Expenditures,-0.30,-2.19,-0.95,-0.82,-1.48
"Other Investing Cash Flow Items, Total",2.35,0.22,-0.35,0.12,0.24
Cash from Investing Activities,2.04,-1.97,-1.29,-0.70,-1.24
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,7.52,0,0,0
Cash from Financing Activities,-0.06,7.16,2.21,-0.47,1.35
Foreign Exchange Effects,-0.06,0.02,-0.05,0.01,0.01
Net Change in Cash,-0.27,2.08,-0.96,-1.98,0.44
