Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.15,14.96,12.07,17.94,29.25
Depreciation/Depletion,1.33,1.56,2.11,11.55,13.60
Non-Cash Items,5.05,4.97,11.38,13.19,11.35
Cash Taxes Paid,0.46,1.32,1.46,1.47,1.81
Changes in Working Capital,-47.58,-86.92,-17.94,-34.21,18.57
Cash from Operating Activities,-28.05,-65.43,7.62,8.47,72.77
Capital Expenditures,-2.61,-14.12,-9.17,-2.15,-26.81
"Other Investing Cash Flow Items, Total",0,-36.53,3.97,15.30,11.82
Cash from Investing Activities,-2.61,-50.65,-5.20,13.15,-14.99
Total Cash Dividends Paid,-3.24,-1.25,-8.08,-11.90,-20.70
"Issuance (Retirement) of Stock, Net",20.92,20.30,13.76,-0.12,0.05
Cash from Financing Activities,31.73,123.23,1.81,-27.43,-49.92
Foreign Exchange Effects,0,0.00,-0.09,0.01,-0.08
Net Change in Cash,1.07,7.15,4.15,-5.80,7.78
