Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-11.35,-12.40,-15.27,2.40,-5.45
Depreciation/Depletion,6.17,7.32,8.63,9.57,8.72
Non-Cash Items,11.50,10.54,24.71,8.12,12.88
Cash Taxes Paid,0.08,0.76,1.64,0,0
Changes in Working Capital,4.25,-8.20,-3.07,-14.50,-5.88
Cash from Operating Activities,10.56,-2.75,15.00,5.60,10.28
Capital Expenditures,-66.95,-2.33,-45.52,-1.28,-1.41
"Other Investing Cash Flow Items, Total",0.13,1.76,0.68,3.08,0.05
Cash from Investing Activities,-66.83,-0.56,-44.84,1.80,-1.35
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,52.94,2.59,34.56,-10.91,-10.31
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-3.32,-0.72,4.71,-3.51,-1.38
