Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,304.60,306.74,267.38,330.69,24.55
Total Revenue,304.60,306.74,267.38,330.69,24.55
"Selling/General/Admin. Expenses, Total",22.04,9.55,9.91,9.61,6.92
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.00,0,0,0,0
"Other Operating Expenses, Total",2.08,7.57,-0.22,1.07,-0.23
Total Operating Expense,299.82,283.74,263.16,324.99,29.98
Operating Income,4.78,23.00,4.22,5.70,-5.42
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.03,-1.70,-0.21
"Other, Net",0,0,0,0,0
Net Income Before Taxes,4.78,23.00,4.19,4.00,-5.64
Provision for Income Taxes,4.19,5.58,1.39,1.73,-1.03
Net Income After Taxes,0.59,17.43,2.80,2.27,-4.60
Net Income Before Extra. Items,-6.82,3.55,-0.73,2.27,-4.60
Net Income,-6.82,13.75,-0.73,2.27,-4.60
Income Available to Com Excl ExtraOrd,-6.82,3.55,-0.73,2.27,-4.60
Income Available to Com Incl ExtraOrd,-6.82,13.75,-0.73,2.27,-4.60
Diluted Net Income,-6.82,13.75,-0.73,2.27,-4.60
Diluted Weighted Average Shares,616.91,796.44,1172.19,1701.00,1701.00
Diluted EPS Excluding ExtraOrd Items,-0.01,0.00,-0.00,0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.01,0.00,-0.00,0.00,-0.00
