Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.54,2.76,0.32,0.17,0.73
Depreciation/Depletion,0.09,1.82,1.53,1.90,1.91
Non-Cash Items,4.37,3.23,4.60,1.62,4.42
Cash Taxes Paid,0.00,0.55,0.72,0.00,0.00
Changes in Working Capital,-13.47,-9.80,-3.02,0.67,-7.55
Cash from Operating Activities,-6.47,-2.00,3.43,4.36,-0.48
Capital Expenditures,-0.27,-0.59,-1.47,-2.93,-0.45
"Other Investing Cash Flow Items, Total",0.04,4.25,3.58,0.46,0.08
Cash from Investing Activities,-0.23,3.66,2.11,-2.48,-0.37
Total Cash Dividends Paid,-0.50,-0.10,-0.10,0.00,-0.05
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,3.00,-1.78,-6.00,-2.00,0.43
Foreign Exchange Effects,0,0.00,-0.00,-0.00,-0.00
Net Change in Cash,-3.70,-0.11,-0.46,-0.12,-0.42
