Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,60.42,31.64,26.13,17.26,14.74
Total Revenue,60.42,31.64,26.13,17.26,14.74
"Selling/General/Admin. Expenses, Total",5.53,2.41,3.90,3.10,2.32
Depreciation/Amortisation,0,0.52,0.37,0.49,0.56
Unusual Expense (Income),0.31,0,0,0,0
"Other Operating Expenses, Total",-0.09,1.83,2.67,0.90,2.33
Total Operating Expense,57.40,28.41,25.53,16.83,13.88
Operating Income,3.02,3.23,0.60,0.44,0.86
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.46,-0.28,-0.27,-0.13
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.02,2.76,0.32,0.17,0.73
Provision for Income Taxes,0.49,0.47,0.07,0.06,0.29
Net Income After Taxes,2.54,2.29,0.25,0.11,0.44
Net Income Before Extra. Items,2.54,2.29,0.25,0.11,0.44
Net Income,2.54,2.29,0.25,0.11,0.44
Income Available to Com Excl ExtraOrd,2.54,2.29,0.25,0.11,0.44
Income Available to Com Incl ExtraOrd,2.54,2.29,0.25,0.11,0.44
Diluted Net Income,2.54,2.29,0.25,0.11,0.44
Diluted Weighted Average Shares,99.20,111.10,99.20,99.20,99.20
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,0.00,0.00,0.00
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalised EPS,0.03,0.04,0.03,0.01,0.01
