Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,3.29,0.93,-1.05,-1.73,-1.02
Depreciation/Depletion,0.49,0.54,0.61,0.58,1.95
Non-Cash Items,0.41,0.79,0.17,-0.07,0.82
Cash Taxes Paid,0.20,0.42,-0.08,0.12,0.14
Changes in Working Capital,-0.08,1.24,1.43,0.08,0.94
Cash from Operating Activities,4.41,3.73,1.40,-0.91,2.93
Capital Expenditures,-0.89,-1.85,-0.16,-0.14,-0.11
"Other Investing Cash Flow Items, Total",-0.24,-0.92,0.02,0.03,0.12
Cash from Investing Activities,-1.13,-2.77,-0.13,-0.11,0.00
Total Cash Dividends Paid,-1.12,-0.90,-0.56,-0.56,-0.34
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.28,-1.21,-0.92,-0.85,-2.03
Foreign Exchange Effects,-0.01,-0.02,-0.01,0.02,-0.02
Net Change in Cash,1.99,-0.27,0.35,-1.85,0.88
