Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,10.29,7.00,-0.80,7.26,-21.65
Depreciation/Depletion,2.11,2.25,3.11,3.77,4.45
Non-Cash Items,-0.52,1.24,0.44,2.00,8.85
Cash Taxes Paid,1.74,1.15,0.08,0.98,0.47
Changes in Working Capital,2.23,-17.61,-8.23,-25.81,10.21
Cash from Operating Activities,15.61,-5.54,-3.45,-11.94,2.71
Capital Expenditures,-7.23,-14.40,-5.75,-1.39,-0.60
"Other Investing Cash Flow Items, Total",-3.24,-6.78,3.28,0.22,-11.37
Cash from Investing Activities,-10.47,-21.18,-2.47,-1.18,-11.96
Total Cash Dividends Paid,-1.64,-2.14,-1.85,-0.51,-1.20
"Issuance (Retirement) of Stock, Net",-1.97,-1.63,-0.32,-0.32,11.92
Cash from Financing Activities,-3.46,7.68,1.91,9.00,12.28
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,1.68,-19.04,-4.01,-4.11,3.02
