Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,94.15,82.92,83.80,136.60,91.69
Total Revenue,94.15,82.92,83.80,136.60,91.69
"Selling/General/Admin. Expenses, Total",13.91,16.46,14.61,15.94,17.19
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.52,-0.36,-0.13,-0.78,5.29
"Other Operating Expenses, Total",0.09,-1.95,-1.18,-1.81,-1.01
Total Operating Expense,83.48,75.43,84.03,128.20,111.43
Operating Income,10.67,7.49,-0.23,8.40,-19.74
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.38,-0.49,-0.57,-1.15,-1.81
"Other, Net",0,0,0,0,-0.11
Net Income Before Taxes,10.29,7.00,-0.80,7.26,-21.65
Provision for Income Taxes,0.71,0.26,-0.52,0.95,-0.16
Net Income After Taxes,9.58,6.74,-0.28,6.30,-21.49
Net Income Before Extra. Items,9.23,6.45,0.49,6.76,-19.58
Net Income,9.23,6.45,0.49,6.76,-19.58
Income Available to Com Excl ExtraOrd,9.23,6.45,0.49,6.76,-19.58
Income Available to Com Incl ExtraOrd,9.23,6.45,0.49,6.76,-19.58
Diluted Net Income,9.23,6.45,0.49,6.76,-19.58
Diluted Weighted Average Shares,285.75,284.21,284.51,284.73,303.15
Diluted EPS Excluding ExtraOrd Items,0.03,0.02,0.00,0.02,-0.06
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.00,0
Diluted Normalised EPS,0.03,0.02,0.00,0.02,-0.05
