Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,8.36,9.04,6.93,12.62,26.76
Depreciation/Depletion,1.58,2.29,2.41,11.52,10.24
Non-Cash Items,4.36,5.04,6.57,8.11,8.01
Cash Taxes Paid,1.08,1.74,1.69,1.80,2.72
Changes in Working Capital,-33.71,-15.36,-9.49,-23.57,-57.65
Cash from Operating Activities,-19.17,1.15,6.61,8.92,-12.49
Capital Expenditures,-1.91,-3.21,-1.95,-0.62,-3.43
"Other Investing Cash Flow Items, Total",-0.25,-5.66,-2.88,-1.10,-0.72
Cash from Investing Activities,-2.16,-8.87,-4.83,-1.72,-4.15
Total Cash Dividends Paid,-1.77,-1.77,-1.77,-1.77,-1.77
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,18.97,7.43,-1.08,-3.78,22.37
Foreign Exchange Effects,0.00,-0.01,0.00,0,0
Net Change in Cash,-2.36,-0.31,0.70,3.42,5.73
