Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,125.17,156.40,146.51,182.24,197.15
Total Revenue,125.17,156.40,146.51,182.24,197.15
"Selling/General/Admin. Expenses, Total",20.27,14.48,16.10,16.14,16.47
Depreciation/Amortisation,1.82,2.43,2.60,11.76,10.39
Unusual Expense (Income),0.08,0.07,0.15,0,-1.53
"Other Operating Expenses, Total",3.05,13.57,14.77,6.11,2.29
Total Operating Expense,116.81,147.37,139.57,169.62,170.38
Operating Income,8.36,9.04,6.93,12.62,26.76
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,8.36,9.04,6.93,12.62,26.76
Provision for Income Taxes,1.85,1.75,1.44,3.05,4.52
Net Income After Taxes,6.51,7.29,5.49,9.57,22.25
Net Income Before Extra. Items,6.23,6.83,4.98,8.49,20.38
Net Income,6.23,6.83,4.98,8.49,20.38
Income Available to Com Excl ExtraOrd,6.23,6.83,4.98,8.49,20.38
Income Available to Com Incl ExtraOrd,6.23,6.83,4.98,8.49,20.38
Diluted Net Income,6.23,6.83,4.98,8.49,20.38
Diluted Weighted Average Shares,353.80,353.80,353.80,353.80,353.80
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,0.02,0.06
DPS - Common Stock Primary Issue,0.01,0.01,0.00,0.01,0.01
Diluted Normalised EPS,0.02,0.02,0.01,0.02,0.05
