Fiscal Year,2017,2018,2019,2020
Period Ended,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,PROSPECTUS,PROSPECTUS,ARS
Revenue,377.15,346.82,428.83,484.27
Total Revenue,377.15,346.82,428.83,484.27
"Selling/General/Admin. Expenses, Total",52.02,48.17,48.36,45.72
Depreciation/Amortisation,6.21,6.87,8.60,8.64
Unusual Expense (Income),0.59,-0.00,0.18,0.24
"Other Operating Expenses, Total",12.28,8.79,9.43,12.54
Total Operating Expense,363.67,323.35,373.13,416.60
Operating Income,13.48,23.48,55.70,67.68
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.29,-1.40,-0.91,-1.16
"Other, Net",0,0,0,0
Net Income Before Taxes,12.19,22.07,54.79,66.52
Provision for Income Taxes,1.13,2.06,7.61,10.79
Net Income After Taxes,11.06,20.01,47.17,55.73
Net Income Before Extra. Items,11.06,20.01,47.17,55.73
Net Income,11.06,20.01,47.17,55.73
Income Available to Com Excl ExtraOrd,11.06,20.01,47.17,55.73
Income Available to Com Incl ExtraOrd,11.06,20.01,47.17,55.73
Diluted Net Income,11.06,20.01,47.17,55.73
Diluted Weighted Average Shares,990.40,990.40,990.40,773.72
Diluted EPS Excluding ExtraOrd Items,0.01,0.02,0.05,0.07
DPS - Common Stock Primary Issue,0,0,0,0.02
Diluted Normalised EPS,0.01,0.02,0.05,0.07
