Fiscal Year,2017,2018,2019,2019.1,2020
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,20.50,23.57,50.95,94.35,276.54
Short Term Investments,1.50,1.45,1.40,1.36,1.44
Cash and Short Term Investments,22.00,25.02,52.34,95.71,277.98
"Accounts Receivable - Trade, Net",4.23,3.19,7.54,8.59,15.74
"Total Receivables, Net",34.73,22.86,26.89,28.68,39.98
Prepaid Expenses,30.33,6.62,6.68,6.76,12.51
"Other Current Assets, Total",12.70,22.36,10.19,120.13,22.46
Total Current Assets,99.76,76.86,96.09,251.27,352.93
"Property/Plant/Equipment, Total - Gross",9.08,9.08,9.08,0,0
"Accumulated Depreciation, Total",-9.08,-9.08,-9.08,0,0
"Property/Plant/Equipment, Total - Net",0.00,0.00,0.00,617.64,609.96
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,9999.39,10214.56,11235.63,12926.00,14079.91
Total Assets,10170.82,10353.79,11413.82,13864.14,15123.22
Accounts Payable,35.60,13.59,13.74,15.79,26.09
Accrued Expenses,95.05,86.59,96.46,158.38,180.39
Notes Payable/Short Term Debt,592.64,624.70,215.82,215.08,226.43
"Other Current liabilities, Total",167.17,93.38,102.86,190.42,178.73
Total Current Liabilities,1122.00,1103.50,824.97,978.97,843.07
Total Long Term Debt,2575.88,2609.28,3485.88,4614.90,4834.06
Total Debt,3400.07,3519.22,4097.79,5229.29,5291.92
Deferred Income Tax,0.00,1.41,10.70,26.56,55.94
"Other Liabilities, Total",137.82,140.91,146.28,132.47,199.60
Total Liabilities,3835.73,3855.10,4467.83,5752.90,5932.67
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,0
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",6335.09,6498.69,6945.99,8111.24,9190.55
Total Equity,6335.09,6498.69,6945.99,8111.24,9190.55
Total Liabilities & Shareholders' Equity,10170.82,10353.79,11413.82,13864.14,15123.22
Total Common Shares Outstanding,2992.66,2996.48,3183.06,3621.99,4020.84
"Tangible Book Value per Share, Common Eq",2.12,2.17,2.18,2.24,2.29
