Fiscal Year,2017,2018,2019,2019.1,2020
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,9 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,830.59,862.11,886.17,699.06,1049.46
Total Revenue,830.59,862.11,886.17,699.06,1049.46
"Selling/General/Admin. Expenses, Total",0,0,0,0,0
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-21.39,0,0,0,0
"Other Operating Expenses, Total",0,0,0,0,0
Total Operating Expense,258.97,291.13,298.65,211.71,350.48
Operating Income,571.63,570.98,587.53,487.35,698.98
"Interest Inc.(Exp.),Net-Non-Op., Total",-152.98,-74.06,-70.05,-78.80,-204.74
"Other, Net",-10.17,0,0,0,0
Net Income Before Taxes,408.48,496.92,517.47,408.55,494.24
Provision for Income Taxes,-19.01,2.83,14.39,20.68,37.16
Net Income After Taxes,427.49,494.09,503.08,387.87,457.08
Net Income Before Extra. Items,427.48,494.12,503.09,387.87,457.08
Net Income,427.48,494.12,503.09,387.87,457.08
Income Available to Com Excl ExtraOrd,413.23,479.87,488.84,377.14,441.94
Income Available to Com Incl ExtraOrd,413.23,479.87,488.84,377.14,441.94
Diluted Net Income,413.23,479.87,488.84,377.14,441.94
Diluted Weighted Average Shares,2851.78,2994.73,3095.98,3231.73,3666.08
Diluted EPS Excluding ExtraOrd Items,0.14,0.16,0.16,0.12,0.12
DPS - Common Stock Primary Issue,0.13,0.13,0.13,0.10,0.13
Diluted Normalised EPS,0.14,0.16,0.16,0.12,0.12
