Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,53.52,54.89,59.02,133.00,46.03
Short Term Investments,155.99,18.34,3.68,9.72,1.79
Cash and Short Term Investments,209.51,73.23,62.70,142.72,47.82
"Accounts Receivable - Trade, Net",273.40,389.14,363.86,318.90,296.68
"Total Receivables, Net",384.09,484.66,453.11,328.52,304.36
Prepaid Expenses,9.54,8.96,6.80,5.60,3.41
"Other Current Assets, Total",37.74,25.69,83.09,83.52,288.10
Total Current Assets,1580.40,1571.73,1343.44,1231.27,1006.68
"Property/Plant/Equipment, Total - Gross",70.59,103.89,121.64,325.44,349.18
"Accumulated Depreciation, Total",-28.28,-28.38,-30.49,-57.09,-87.79
"Property/Plant/Equipment, Total - Net",42.30,75.51,91.16,268.35,261.40
"Goodwill, Net",4.99,5.09,3.32,3.22,3.22
"Intangibles, Net",1.97,2.36,6.92,6.38,5.67
Long Term Investments,82.52,277.66,217.67,211.09,300.67
Total Assets,1721.78,1982.43,1669.55,1723.49,1585.34
Accounts Payable,8.54,6.25,5.81,7.88,14.90
Accrued Expenses,43.07,40.69,30.11,22.73,34.93
Notes Payable/Short Term Debt,304.80,337.18,289.74,245.85,253.26
"Other Current liabilities, Total",30.41,12.20,34.90,49.79,61.95
Total Current Liabilities,585.51,849.95,634.60,967.81,648.07
Total Long Term Debt,749.61,707.40,609.47,322.54,443.03
Total Debt,1253.11,1484.56,1153.87,1189.55,979.32
Deferred Income Tax,8.09,13.71,15.80,16.75,41.04
"Other Liabilities, Total",1.70,2.71,3.12,5.94,6.25
Total Liabilities,1409.79,1663.22,1363.65,1410.77,1245.61
"Common Stock, Total",226.15,226.93,226.93,226.93,226.93
Retained Earnings (Accumulated Deficit),94.34,112.25,111.21,107.45,120.08
Treasury Stock - Common,-2.59,-2.59,-2.59,-2.29,-1.78
Unrealised Gain (Loss),3.98,-8.15,-14.16,-8.86,-7.50
"Other Equity, Total",-9.90,-9.23,-15.50,-10.51,2.00
Total Equity,311.99,319.21,305.90,312.72,339.73
Total Liabilities & Shareholders' Equity,1721.78,1982.43,1669.55,1723.49,1585.34
Total Common Shares Outstanding,1933.50,1936.49,1936.49,1937.58,1939.43
"Tangible Book Value per Share, Common Eq",0.16,0.16,0.15,0.16,0.17
