Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,6.89,17.63,56.56,30.41,49.58
Depreciation/Depletion,4.11,4.66,5.46,26.91,32.53
Non-Cash Items,23.98,5.41,19.31,28.00,28.08
Cash Taxes Paid,0.85,18.62,3.16,7.29,2.91
Changes in Working Capital,-30.91,-227.14,188.76,14.72,65.87
Cash from Operating Activities,4.58,-198.53,271.17,101.31,177.49
Capital Expenditures,-24.19,-39.98,-20.62,-30.36,-35.75
"Other Investing Cash Flow Items, Total",-19.56,-36.25,79.61,99.87,14.47
Cash from Investing Activities,-43.75,-76.23,58.99,69.52,-21.28
Total Cash Dividends Paid,-8.62,-4.06,-9.68,-9.68,-9.69
"Issuance (Retirement) of Stock, Net",0.00,27.39,-0.04,-0.12,0.00
Cash from Financing Activities,-23.50,259.30,-325.17,-96.68,-245.59
Foreign Exchange Effects,-0.04,0.06,-0.86,-0.17,2.41
Net Change in Cash,-62.71,-15.40,4.13,73.98,-86.97
