Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,15.42,7.24,13.70,8.40,11.65
Short Term Investments,0.52,1.74,1.27,4.17,2.43
Cash and Short Term Investments,15.94,8.98,14.98,12.57,14.08
"Accounts Receivable - Trade, Net",7.59,10.16,13.04,14.36,10.73
"Total Receivables, Net",8.93,10.16,13.04,14.36,10.73
Prepaid Expenses,0.73,0,0,0,0
"Other Current Assets, Total",0.39,0,0,0,0
Total Current Assets,103.81,120.65,138.40,131.71,132.44
"Property/Plant/Equipment, Total - Gross",294.50,313.16,323.18,353.49,374.44
"Accumulated Depreciation, Total",-68.31,-73.66,-83.53,-90.74,-113.10
"Property/Plant/Equipment, Total - Net",226.18,239.49,239.65,262.75,261.34
"Goodwill, Net",0.79,0.79,0.79,0.79,0.79
"Intangibles, Net",0.44,0.39,0.39,0.39,0.39
Long Term Investments,380.52,376.92,400.83,418.92,406.09
Total Assets,725.27,751.39,793.49,821.69,807.72
Accounts Payable,4.61,0,0,0,0
Accrued Expenses,17.36,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",7.36,5.34,11.40,4.24,2.76
Total Current Liabilities,90.28,97.52,51.63,65.00,26.86
Total Long Term Debt,250.45,259.42,325.42,333.69,374.09
Total Debt,311.40,326.28,335.07,374.35,379.62
Deferred Income Tax,5.54,12.50,13.23,14.59,13.78
"Other Liabilities, Total",5.34,3.54,3.84,4.51,5.15
Total Liabilities,351.21,372.63,394.12,417.80,419.88
"Common Stock, Total",125.65,125.65,125.65,125.65,125.65
Retained Earnings (Accumulated Deficit),236.36,255.38,281.23,279.25,263.19
Treasury Stock - Common,-0.91,-1.00,-1.00,-1.00,-1.00
Unrealised Gain (Loss),9.89,0,0,0,0
"Other Equity, Total",3.09,-1.26,-6.51,0,0
Total Equity,374.06,378.76,399.37,403.90,387.84
Total Liabilities & Shareholders' Equity,725.27,751.39,793.49,821.69,807.72
Total Common Shares Outstanding,575.14,574.97,574.97,574.97,574.97
"Tangible Book Value per Share, Common Eq",0.65,0.66,0.69,0.70,0.67
