Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,114.92,93.29,118.25,165.58,101.11
Depreciation/Depletion,1.54,5.51,6.17,10.36,12.16
Non-Cash Items,-101.55,37.36,-22.12,-65.45,108.03
Cash Taxes Paid,22.46,24.07,22.07,9.24,27.33
Changes in Working Capital,92.01,-99.01,-399.03,47.84,-51.46
Cash from Operating Activities,106.92,37.15,-296.73,158.32,169.85
Capital Expenditures,-71.34,-6.42,-0.42,-37.48,-16.50
"Other Investing Cash Flow Items, Total",182.25,42.30,21.43,-170.60,-223.61
Cash from Investing Activities,110.91,35.88,21.01,-208.09,-240.10
Total Cash Dividends Paid,-11.80,-11.80,-14.27,-19.08,-22.86
"Issuance (Retirement) of Stock, Net",0,0,0,0,9.77
Cash from Financing Activities,-45.19,-31.46,85.13,244.53,219.03
Foreign Exchange Effects,-4.39,-2.58,-3.00,-7.09,14.14
Net Change in Cash,168.26,38.99,-193.59,187.68,162.92
