Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Mar 2016,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,52537.00,51533.00,50860.00,50734.00,51206.00
Total Revenue,52537.00,51533.00,50860.00,50734.00,51206.00
"Selling/General/Admin. Expenses, Total",9283.00,9359.00,9419.00,9286.00,7741.00
Depreciation/Amortisation,3408.00,3252.00,3161.00,3283.00,5025.00
Unusual Expense (Income),0,0,1720.00,17962.00,2641.00
"Other Operating Expenses, Total",1967.00,3508.00,1828.00,2655.00,2602.00
Total Operating Expense,43709.00,44961.00,44789.00,61952.00,46795.00
Operating Income,8828.00,6572.00,6071.00,-11218.00,4411.00
"Interest Inc.(Exp.),Net-Non-Op., Total",-1601.00,-1589.00,-1578.00,-982.00,-2423.00
"Other, Net",-86.00,-69.00,-25.00,-584.00,0
Net Income Before Taxes,7141.00,4914.00,4468.00,-12784.00,1988.00
Provision for Income Taxes,479.00,801.00,336.00,-291.00,285.00
Net Income After Taxes,6662.00,4113.00,4132.00,-12493.00,1703.00
Net Income Before Extra. Items,6517.00,4000.00,4095.00,-12553.00,1663.00
Net Income,6517.00,4000.00,4095.00,-12553.00,1663.00
Income Available to Com Excl ExtraOrd,6517.00,4000.00,4095.00,-12553.00,1663.00
Income Available to Com Incl ExtraOrd,6517.00,4000.00,4095.00,-12553.00,1663.00
Diluted Net Income,6517.00,4000.00,4095.00,-12553.00,1663.00
Diluted Weighted Average Shares,1099.12,1099.12,1099.12,1099.12,1099.12
Diluted EPS Excluding ExtraOrd Items,5.93,3.64,3.73,-11.42,1.51
DPS - Common Stock Primary Issue,5.54,4.82,3.13,3.08,3.25
Diluted Normalised EPS,6.09,4.79,5.19,-0.79,3.57
