Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-57.72,-4.99,14.04,-93.39,-10.35
Depreciation/Depletion,0.04,0.07,0.14,0.09,0.08
Non-Cash Items,38.98,-27.75,-38.49,42.55,0.03
Cash Taxes Paid,0,0,0,0.29,0.00
Changes in Working Capital,-3.51,14.01,-0.23,3.67,7.04
Cash from Operating Activities,-15.36,-8.24,-7.70,-7.80,-3.21
Capital Expenditures,-1.77,-1.24,-1.09,-0.47,-0.01
"Other Investing Cash Flow Items, Total",2.09,0,0,-0.61,0.00
Cash from Investing Activities,0.32,-1.24,-1.09,-1.08,-0.01
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",25.00,0.00,9.01,7.70,0.00
Cash from Financing Activities,23.64,0.00,8.43,7.70,0.00
Foreign Exchange Effects,0.70,0.80,0.44,0.60,0.12
Net Change in Cash,9.31,-8.68,0.07,-0.58,-3.10
