Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,47.77,54.02,103.20,18.00,15.73
Total Revenue,47.77,54.02,103.20,18.00,15.73
"Selling/General/Admin. Expenses, Total",3.16,6.17,5.09,7.94,13.28
Depreciation/Amortisation,6.90,10.49,14.70,20.69,0.08
Unusual Expense (Income),56.23,0,2.27,57.93,0.00
"Other Operating Expenses, Total",3.94,8.27,15.94,13.16,7.26
Total Operating Expense,107.29,59.35,89.58,111.52,26.11
Operating Income,-59.52,-5.33,13.62,-93.52,-10.38
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.02,0.11,0.00,-0.05,-0.03
"Other, Net",1.82,0.24,0.41,0.18,0.05
Net Income Before Taxes,-57.72,-4.99,14.04,-93.39,-10.35
Provision for Income Taxes,0.00,0.00,0.00,7.30,-7.44
Net Income After Taxes,-57.72,-4.99,14.04,-100.69,-2.91
Net Income Before Extra. Items,-57.71,-4.99,14.04,-100.85,-1.96
Net Income,-57.71,-4.99,14.04,-100.85,-1.96
Income Available to Com Excl ExtraOrd,-57.71,-4.99,14.04,-100.85,-1.96
Income Available to Com Incl ExtraOrd,-57.71,-4.99,14.04,-100.85,-1.96
Diluted Net Income,-57.71,-4.99,14.04,-100.85,-1.96
Diluted Weighted Average Shares,513.53,632.22,679.80,777.05,790.25
Diluted EPS Excluding ExtraOrd Items,-0.11,-0.01,0.02,-0.13,-0.00
DPS - Common Stock Primary Issue,0.00,0,0,0,0
Diluted Normalised EPS,-0.00,-0.01,0.02,-0.08,-0.00
