Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,80.60,101.17,121.24,125.41,169.93
Total Revenue,80.60,101.17,121.24,125.41,169.93
"Selling/General/Admin. Expenses, Total",19.28,21.09,26.44,30.04,37.03
Depreciation/Amortisation,3.07,4.24,5.59,13.20,15.84
Unusual Expense (Income),0.42,0.17,0.00,0,0.13
"Other Operating Expenses, Total",13.73,16.47,17.57,12.65,8.38
Total Operating Expense,75.18,92.83,110.24,114.23,144.15
Operating Income,5.42,8.34,11.00,11.18,25.77
"Interest Inc.(Exp.),Net-Non-Op., Total",0.68,0.41,1.35,-0.11,-0.39
"Other, Net",0,0,0,0,0
Net Income Before Taxes,6.09,8.75,12.35,11.07,25.39
Provision for Income Taxes,0.76,1.25,1.66,1.76,4.42
Net Income After Taxes,5.33,7.49,10.69,9.31,20.96
Net Income Before Extra. Items,5.45,7.70,10.91,9.51,21.15
Net Income,5.45,7.70,10.91,9.51,21.15
Income Available to Com Excl ExtraOrd,5.45,7.70,10.91,9.51,21.15
Income Available to Com Incl ExtraOrd,5.45,7.70,10.91,9.51,21.15
Diluted Net Income,5.45,7.70,10.91,9.51,21.15
Diluted Weighted Average Shares,267.35,268.46,272.10,274.88,283.53
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,0.04,0.03,0.07
DPS - Common Stock Primary Issue,0.03,0.03,0.03,0.03,0.03
Diluted Normalised EPS,0.02,0.03,0.04,0.03,0.07
