Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,8.99,1.26,11.09,7.14,2.28
Total Revenue,8.99,1.26,11.09,7.14,2.28
"Selling/General/Admin. Expenses, Total",0.66,0.41,0.53,0.60,0.62
Depreciation/Amortisation,0.00,0.00,0.02,0.04,0.11
Unusual Expense (Income),0,0.08,0,0,0.24
"Other Operating Expenses, Total",0.65,0.98,1.08,0.82,0.82
Total Operating Expense,6.39,1.85,9.89,5.75,1.79
Operating Income,2.59,-0.59,1.20,1.39,0.49
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.29,0.32,-0.01
"Other, Net",0,0,0,0,0
Net Income Before Taxes,2.59,-0.59,0.91,1.71,0.48
Provision for Income Taxes,0.13,0.03,0.14,0.10,0.09
Net Income After Taxes,2.47,-0.62,0.77,1.61,0.39
Net Income Before Extra. Items,0.63,-0.61,0.61,1.52,0.35
Net Income,3.32,-0.61,0.61,1.52,0.35
Income Available to Com Excl ExtraOrd,0.63,-0.61,0.61,1.52,0.35
Income Available to Com Incl ExtraOrd,3.32,-0.61,0.61,1.52,0.35
Diluted Net Income,3.32,-0.61,0.61,1.52,0.35
Diluted Weighted Average Shares,345.88,345.88,777.51,900.62,899.21
Diluted EPS Excluding ExtraOrd Items,0.00,-0.00,0.00,0.00,0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,-0.00,0.00,0.00,0.00
