Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,393.27,763.81,1048.48,1121.21,1162.69
Total Revenue,393.27,763.81,1048.48,1121.21,1162.69
"Selling/General/Admin. Expenses, Total",91.21,154.31,228.24,260.40,280.72
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),2.53,0.64,-2.55,-2.54,-7.68
"Other Operating Expenses, Total",2.01,-1.85,7.60,17.83,6.03
Total Operating Expense,345.64,606.17,933.29,1050.89,1095.96
Operating Income,47.63,157.64,115.19,70.32,66.72
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,47.63,157.64,115.19,70.32,66.72
Provision for Income Taxes,13.97,53.21,41.51,37.43,32.26
Net Income After Taxes,33.66,104.44,73.68,32.89,34.47
Net Income Before Extra. Items,22.01,62.95,39.32,9.95,8.09
Net Income,22.01,62.95,39.32,9.95,8.09
Income Available to Com Excl ExtraOrd,22.01,62.95,39.32,9.95,8.09
Income Available to Com Incl ExtraOrd,22.01,62.95,39.32,9.95,8.09
Diluted Net Income,22.01,62.95,39.32,9.95,8.09
Diluted Weighted Average Shares,5155.31,2353.10,2353.10,2353.10,2353.10
Diluted EPS Excluding ExtraOrd Items,0.00,0.03,0.02,0.00,0.00
DPS - Common Stock Primary Issue,0.00,0.01,0.02,0.00,0
Diluted Normalised EPS,0.00,0.03,0.02,0.00,0.00
