Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.25,0.42,2.31,2.97,1.57
Depreciation/Depletion,0.17,0.11,0.04,0.04,0.03
Non-Cash Items,-1.50,-1.76,-1.71,-3.07,-2.36
Cash Taxes Paid,0.21,0.32,0.07,0.30,0.13
Changes in Working Capital,10.80,1.56,7.60,-9.46,12.70
Cash from Operating Activities,11.73,0.32,8.25,-9.52,11.95
Capital Expenditures,-0.02,-0.07,-0.08,0.00,-0.02
"Other Investing Cash Flow Items, Total",0.00,0.00,-20.00,0.02,21.50
Cash from Investing Activities,-0.02,-0.07,-20.08,0.02,21.48
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,0.00,0.00,0.00,5.16,-5.05
Foreign Exchange Effects,0.87,-1.56,0.16,-0.05,-0.37
Net Change in Cash,12.58,-1.31,-11.67,-4.40,28.00
