Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,109.33,121.07,136.38,93.08,29.43
Total Revenue,109.33,121.07,136.38,93.08,29.43
"Selling/General/Admin. Expenses, Total",1.74,2.05,2.59,2.59,1.93
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0.00
"Other Operating Expenses, Total",-0.62,0.18,0.02,-0.08,-0.19
Total Operating Expense,106.17,120.97,135.77,93.19,30.26
Operating Income,3.17,0.10,0.61,-0.11,-0.83
"Interest Inc.(Exp.),Net-Non-Op., Total",0,1.11,1.71,3.08,2.40
"Other, Net",0,0,0,0,0
Net Income Before Taxes,3.17,1.21,2.31,2.97,1.57
Provision for Income Taxes,0.64,0.24,0.41,0.47,0.18
Net Income After Taxes,2.53,0.97,1.90,2.50,1.40
Net Income Before Extra. Items,2.53,0.97,1.90,2.50,1.40
Net Income,1.80,0.45,1.90,2.50,1.40
Income Available to Com Excl ExtraOrd,2.53,0.97,1.90,2.50,1.40
Income Available to Com Incl ExtraOrd,1.80,0.45,1.90,2.50,1.40
Diluted Net Income,1.80,0.45,1.90,2.50,1.40
Diluted Weighted Average Shares,35.10,35.10,35.10,35.10,35.10
Diluted EPS Excluding ExtraOrd Items,0.07,0.03,0.05,0.07,0.04
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.07,0.03,0.05,0.07,0.04
