Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-2.54,-10.51,-6.10,-5.37,-5.68
Depreciation/Depletion,1.16,1.65,1.36,1.60,1.42
Non-Cash Items,0.37,4.20,1.11,1.46,2.85
Cash Taxes Paid,-0.04,0,0,0,0.00
Changes in Working Capital,5.00,1.14,0.32,-0.74,-2.69
Cash from Operating Activities,3.99,-3.51,-3.32,-3.05,-4.10
Capital Expenditures,-5.68,-0.35,-0.20,-0.31,-0.30
"Other Investing Cash Flow Items, Total",1.64,0.01,0.00,0.18,0.05
Cash from Investing Activities,-4.04,-0.34,-0.20,-0.13,-0.25
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0.00,23.00,-1.62,0.00
Cash from Financing Activities,2.17,-3.18,22.60,-0.99,0.14
Foreign Exchange Effects,-0.00,0.00,0.01,0.01,-0.02
Net Change in Cash,2.11,-7.04,19.09,-4.16,-4.23
