Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,4.21,42.76,26.74,24.36,19.58
Depreciation/Depletion,0.40,0.25,0.29,2.14,1.86
Non-Cash Items,-6.56,-40.67,-26.20,-31.80,-29.39
Cash Taxes Paid,0.17,1.75,2.54,3.25,1.45
Changes in Working Capital,5.91,-11.91,-10.24,-4.28,0.19
Cash from Operating Activities,3.96,-9.58,-9.41,-9.58,-7.75
Capital Expenditures,-0.34,-0.43,-1.06,-0.23,-0.21
"Other Investing Cash Flow Items, Total",6.08,64.90,-6.32,21.80,-1.05
Cash from Investing Activities,5.75,64.47,-7.38,21.57,-1.26
Total Cash Dividends Paid,-2.62,-6.54,-5.23,-5.23,-1.31
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-7.79,-27.53,-9.22,-12.69,3.83
Foreign Exchange Effects,0.22,-0.14,-0.22,-0.09,0.14
Net Change in Cash,2.15,27.22,-26.22,-0.78,-5.03
