Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,4.99,-160.42,-9.92,-55.06,-29.74
Depreciation/Depletion,17.17,17.64,16.37,14.62,13.11
Non-Cash Items,6.44,109.87,-65.42,2.93,1.11
Cash Taxes Paid,4.36,0.90,0.68,0.51,0.00
Changes in Working Capital,-14.49,19.78,30.45,34.99,15.96
Cash from Operating Activities,14.11,-12.88,-28.00,-1.88,0.80
Capital Expenditures,-32.34,-0.12,-2.12,-0.76,-0.06
"Other Investing Cash Flow Items, Total",0.09,2.23,0.64,0.07,0.29
Cash from Investing Activities,-32.25,2.11,-1.48,-0.69,0.24
Total Cash Dividends Paid,-6.87,-3.43,0.00,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,3.95,-9.84,16.41,-2.60,-4.51
Foreign Exchange Effects,1.09,-0.49,0.06,-0.07,0.19
Net Change in Cash,-13.11,-21.10,-13.01,-5.25,-3.28
