Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,0.60,0.06,3.71,3.34,0.65
Total Revenue,0.60,0.06,3.71,3.34,0.65
"Selling/General/Admin. Expenses, Total",-1.19,2.70,0.00,0.18,1.59
Depreciation/Amortisation,1.04,0.13,0.03,0.15,0.19
Unusual Expense (Income),10.62,4.28,-0.84,0.19,0
"Other Operating Expenses, Total",1.46,1.15,1.14,-3.00,0.62
Total Operating Expense,15.41,9.61,1.47,-1.06,3.46
Operating Income,-14.82,-9.55,2.24,4.40,-2.81
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.04,-0.05,0.00,0.30,-0.02
"Other, Net",-0.06,0,0,0,0
Net Income Before Taxes,-14.92,-9.61,2.24,4.70,-2.83
Provision for Income Taxes,0.04,0.00,0.58,0.65,0.03
Net Income After Taxes,-14.96,-9.61,1.66,4.05,-2.87
Net Income Before Extra. Items,-14.25,-9.52,0.38,3.65,-2.36
Net Income,-14.25,-9.52,0.38,3.65,-2.36
Income Available to Com Excl ExtraOrd,-14.25,-9.52,0.38,3.65,-2.36
Income Available to Com Incl ExtraOrd,-14.25,-9.52,0.38,3.65,-2.36
Diluted Net Income,-14.25,-9.52,0.38,3.65,-2.36
Diluted Weighted Average Shares,119.01,119.01,172.00,226.69,231.62
Diluted EPS Excluding ExtraOrd Items,-0.12,-0.08,0.00,0.02,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.06,-0.04,-0.00,0.02,-0.01
