Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,25.53,20.57,10.35,9.25,8.65
Total Revenue,25.53,20.57,10.35,9.25,8.65
"Selling/General/Admin. Expenses, Total",16.09,11.47,6.89,7.18,6.23
Depreciation/Amortisation,1.54,0.72,0.78,0.90,0.85
Unusual Expense (Income),5.89,0.92,0.70,0.37,0.81
"Other Operating Expenses, Total",-1.13,-2.84,-6.66,-2.30,-0.80
Total Operating Expense,25.08,13.61,1.71,6.14,7.09
Operating Income,0.44,6.96,8.63,3.11,1.55
"Interest Inc.(Exp.),Net-Non-Op., Total",-6.72,-6.78,-4.22,-4.45,-8.93
"Other, Net",0,0.00,-0.01,-0.90,-0.18
Net Income Before Taxes,-6.27,0.29,4.40,-2.27,-7.49
Provision for Income Taxes,1.16,1.44,0.81,-1.00,-0.35
Net Income After Taxes,-7.43,-1.15,3.59,-1.27,-7.14
Net Income Before Extra. Items,-4.51,-1.05,3.71,-1.20,-7.16
Net Income,-9.31,-1.79,3.79,1.01,-7.16
Income Available to Com Excl ExtraOrd,-4.51,-1.05,3.71,-1.20,-7.16
Income Available to Com Incl ExtraOrd,-9.31,-1.79,3.79,1.01,-7.16
Diluted Net Income,-9.31,-1.79,3.79,1.01,-7.16
Diluted Weighted Average Shares,172.73,199.95,211.33,274.92,274.92
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.01,0.02,-0.00,-0.03
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,-0.00,0.02,-0.00,-0.02
