Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,70.12,221.62,262.33,323.13,518.96
Total Revenue,70.12,221.62,262.33,323.13,518.96
"Selling/General/Admin. Expenses, Total",13.56,31.61,42.99,57.39,79.36
Depreciation/Amortisation,0.82,0.70,1.87,6.08,8.42
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",5.31,3.11,4.50,4.39,2.53
Total Operating Expense,63.58,184.02,222.58,260.21,405.80
Operating Income,6.55,37.60,39.75,62.92,113.16
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.44,-0.05,0.23,0.82,0.68
"Other, Net",-0.01,-0.02,-0.01,0,-0.03
Net Income Before Taxes,6.09,37.53,39.97,63.74,113.81
Provision for Income Taxes,1.33,5.35,6.48,10.97,16.22
Net Income After Taxes,4.77,32.18,33.49,52.76,97.59
Net Income Before Extra. Items,4.77,32.18,33.49,52.76,97.59
Net Income,4.66,32.18,33.49,52.76,97.59
Income Available to Com Excl ExtraOrd,4.77,32.18,33.49,52.76,97.59
Income Available to Com Incl ExtraOrd,4.66,32.18,33.49,52.76,97.59
Diluted Net Income,4.66,32.18,33.49,52.76,97.59
Diluted Weighted Average Shares,261.53,265.32,274.23,272.32,277.89
Diluted EPS Excluding ExtraOrd Items,0.02,0.12,0.12,0.19,0.35
DPS - Common Stock Primary Issue,0.00,0.03,0.03,0.05,0.09
Diluted Normalised EPS,0.02,0.12,0.12,0.19,0.35
