Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,14.63,15.69,11.89,14.56,25.82
Depreciation/Depletion,4.18,2.81,2.14,2.76,2.77
Non-Cash Items,0.45,-1.04,1.63,3.13,4.24
Cash Taxes Paid,2.72,2.78,6.16,6.16,2.83
Changes in Working Capital,11.13,-5.45,-19.56,-17.26,14.30
Cash from Operating Activities,30.40,12.03,-3.87,3.20,47.14
Capital Expenditures,-2.49,-1.66,-4.75,-1.39,-1.29
"Other Investing Cash Flow Items, Total",0.50,8.73,0.41,3.28,-0.30
Cash from Investing Activities,-1.98,7.08,-4.34,1.89,-1.59
Total Cash Dividends Paid,-2.98,-3.97,-4.96,-2.97,-5.95
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-13.95,-9.44,3.15,-4.51,-27.18
Foreign Exchange Effects,35.22,-2.50,-1.69,-0.45,-1.30
Net Change in Cash,49.69,7.16,-6.75,0.13,17.08
