Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,361.45,415.95,431.33,455.80,479.71
Total Revenue,361.45,415.95,431.33,455.80,479.71
"Selling/General/Admin. Expenses, Total",43.79,49.57,49.99,48.91,47.93
Depreciation/Amortisation,1.21,0,0,2.56,2.68
Unusual Expense (Income),-0.08,0,0,-1.52,-2.14
"Other Operating Expenses, Total",-2.94,-4.83,-1.16,-1.17,-4.00
Total Operating Expense,346.37,400.00,418.73,437.92,451.53
Operating Income,15.08,15.95,12.60,17.88,28.18
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.44,-0.39,-0.54,-0.92,-0.39
"Other, Net",0,0.14,-0.16,-2.40,-1.97
Net Income Before Taxes,14.63,15.69,11.89,14.56,25.82
Provision for Income Taxes,3.84,3.86,5.22,4.81,6.26
Net Income After Taxes,10.80,11.84,6.67,9.75,19.57
Net Income Before Extra. Items,9.74,10.97,5.57,7.84,17.78
Net Income,9.74,10.97,5.57,7.84,17.78
Income Available to Com Excl ExtraOrd,9.74,10.97,5.57,7.84,17.78
Income Available to Com Incl ExtraOrd,9.74,10.97,5.57,7.84,17.78
Diluted Net Income,9.74,10.97,5.57,7.84,17.78
Diluted Weighted Average Shares,90.10,90.10,90.10,90.10,90.10
Diluted EPS Excluding ExtraOrd Items,0.11,0.12,0.06,0.09,0.20
DPS - Common Stock Primary Issue,0.04,0.04,0.04,0.04,0.07
Diluted Normalised EPS,0.11,0.09,0.06,0.08,0.18
