Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,2.07,-0.75,-3.56,-11.25,-5.06
Depreciation/Depletion,2.05,2.63,2.42,4.34,4.20
Non-Cash Items,-1.17,1.06,1.97,4.63,1.63
Cash Taxes Paid,0.66,0.58,0.32,0.37,0.48
Changes in Working Capital,-4.01,-0.92,-1.68,6.07,1.69
Cash from Operating Activities,-1.07,2.08,-0.79,3.83,2.52
Capital Expenditures,-1.12,-2.30,-1.17,-1.00,-0.43
"Other Investing Cash Flow Items, Total",0.22,-0.32,-0.19,0.04,2.56
Cash from Investing Activities,-0.90,-2.62,-1.36,-0.97,2.13
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-1.95,-0.27,1.20,-4.42,-5.45
Foreign Exchange Effects,-0.13,-0.27,-0.10,-0.14,0.14
Net Change in Cash,-4.05,-1.09,-1.04,-1.69,-0.67
