Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts,Annual Audited Accounts
Cash,1630.00,685.00,1854.00,2486.00,2728.00
Short Term Investments,7994.00,36207.00,17936.00,28726.00,25096.00
Cash and Short Term Investments,253084.00,243855.00,226650.00,284040.00,262656.00
"Accounts Receivable - Trade, Net",160767.00,194679.00,238680.00,193797.00,204405.00
"Total Receivables, Net",176017.00,208950.00,249065.00,203556.00,206778.00
Prepaid Expenses,92847.00,106742.00,153592.00,125645.00,120440.00
"Other Current Assets, Total",3582.00,3404.00,1800.00,968.00,15428.00
Total Current Assets,573324.00,613206.00,692157.00,679531.00,662523.00
"Property/Plant/Equipment, Total - Gross",5186366.00,4692994.00,5014571.00,5614101.00,5823800.00
"Accumulated Depreciation, Total",-1508351.00,-1469378.00,-1651818.00,-1877102.00,-1950753.00
"Property/Plant/Equipment, Total - Net",3678016.00,3223616.00,3362753.00,3736999.00,3873047.00
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",10264.00,9616.00,8614.00,7789.00,6639.00
Long Term Investments,39773.00,20790.00,19954.00,13940.00,90405.00
Total Assets,4330646.00,3894362.00,4119496.00,4454177.00,4659327.00
Accounts Payable,81410.00,87571.00,90313.00,120186.00,140903.00
Accrued Expenses,38359.00,44378.00,47767.00,10590.00,11701.00
Notes Payable/Short Term Debt,2054.00,47275.00,27953.00,429555.00,0.00
"Other Current liabilities, Total",78678.00,93839.00,151490.00,133916.00,197780.00
Total Current Liabilities,523904.00,545450.00,670505.00,709108.00,604301.00
Total Long Term Debt,1194852.00,902462.00,746091.00,816632.00,1224250.00
Total Debt,1520309.00,1222124.00,1127026.00,1261048.00,1478167.00
Deferred Income Tax,0,0,0,0,0
"Other Liabilities, Total",46030.00,36698.00,42463.00,28906.00,24124.00
Total Liabilities,1789971.00,1505334.00,1475709.00,1567754.00,1852675.00
"Common Stock, Total",534393.00,534538.00,534569.00,534569.00,534570.00
Retained Earnings (Accumulated Deficit),-209770.00,-66058.00,85208.00,235974.00,328649.00
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),-120.00,-511.00,79.00,31.00,-1062.00
"Other Equity, Total",276387.00,-19365.00,82511.00,174429.00,3075.00
Total Equity,2540675.00,2389028.00,2643787.00,2886423.00,2806652.00
Total Liabilities & Shareholders' Equity,4330646.00,3894362.00,4119496.00,4454177.00,4659327.00
Total Common Shares Outstanding,534.39,534.54,534.57,534.57,534.57
"Tangible Book Value per Share, Common Eq",4735.11,4451.34,4929.53,5384.96,5237.88
