Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0,0,0,2.01
Cash and Short Term Investments,108.77,158.99,206.18,130.80,53.29
"Accounts Receivable - Trade, Net",65.36,131.14,69.16,74.23,43.64
"Total Receivables, Net",76.13,140.05,90.58,93.16,64.26
Prepaid Expenses,9.50,7.23,6.49,6.52,5.46
"Other Current Assets, Total",194.04,10.29,3.87,6.27,3.83
Total Current Assets,652.20,609.32,600.16,563.29,447.52
"Property/Plant/Equipment, Total - Gross",884.02,885.50,846.06,1005.88,955.85
"Accumulated Depreciation, Total",-226.27,-243.48,-246.62,-287.19,-285.26
"Property/Plant/Equipment, Total - Net",657.75,642.01,599.44,718.69,670.59
"Goodwill, Net",2.60,2.60,2.60,2.60,2.60
"Intangibles, Net",30.60,30.61,30.75,32.64,32.60
Long Term Investments,179.37,325.01,314.88,325.44,317.92
Total Assets,1608.22,1679.07,1633.80,1743.87,1578.71
Accounts Payable,20.24,110.16,44.60,51.68,50.32
Accrued Expenses,36.58,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",77.37,106.11,198.69,201.43,193.05
Total Current Liabilities,281.19,406.91,458.46,532.42,471.71
Total Long Term Debt,469.57,375.31,330.56,315.10,306.71
Total Debt,616.59,565.95,545.73,594.42,535.05
Deferred Income Tax,107.12,109.99,113.45,136.08,138.02
"Other Liabilities, Total",17.49,9.33,11.58,12.85,34.67
Total Liabilities,1043.74,1078.44,987.67,1069.63,1012.47
"Common Stock, Total",200.00,241.52,241.52,241.52,241.75
Retained Earnings (Accumulated Deficit),202.79,211.01,269.03,243.87,148.37
Treasury Stock - Common,-0.24,-0.14,-1.15,-0.90,-0.76
Unrealised Gain (Loss),181.77,182.11,177.50,208.72,206.12
"Other Equity, Total",-19.83,-33.87,-40.77,-18.98,-29.24
Total Equity,564.48,600.63,646.13,674.24,566.24
Total Liabilities & Shareholders' Equity,1608.22,1679.07,1633.80,1743.87,1578.71
Total Common Shares Outstanding,761.06,841.16,839.36,839.79,840.96
"Tangible Book Value per Share, Common Eq",0.70,0.67,0.73,0.76,0.63
