Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,0.04,-0.27,0.03,2.40,-4.16
Depreciation/Depletion,1.07,1.01,1.17,0.89,1.02
Non-Cash Items,-0.35,-0.52,-0.08,0.31,-0.04
Cash Taxes Paid,0.69,0.05,-0.03,0.18,0.48
Changes in Working Capital,11.04,3.38,-7.96,-9.23,7.68
Cash from Operating Activities,11.80,3.59,-6.84,-5.64,4.51
Capital Expenditures,-0.24,-0.36,-0.06,-3.02,-8.28
"Other Investing Cash Flow Items, Total",1.32,1.35,2.32,0.25,1.13
Cash from Investing Activities,1.08,0.99,2.26,-2.77,-7.14
Total Cash Dividends Paid,-3.33,-1.11,-0.44,-0.67,-1.33
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-3.72,-0.84,1.10,-2.71,-1.61
Foreign Exchange Effects,-0.03,-0.00,0.02,-0.06,-0.00
Net Change in Cash,9.13,3.73,-3.46,-11.17,-4.25
