Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Jan 2014,31 Jan 2015,31 Jan 2016,31 Jan 2017,31 Jan 2018
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-0.81,0.51,-2.20,0.16,0.12
Depreciation/Depletion,0.17,0.15,0.29,0.35,0.41
Non-Cash Items,-0.32,0.00,0.48,0.34,0.34
Cash Taxes Paid,-0.02,-0.00,0.02,-0.01,0.00
Changes in Working Capital,-0.50,-0.95,0.37,-0.14,0.07
Cash from Operating Activities,-1.46,-0.29,-1.06,0.71,0.95
Capital Expenditures,-0.24,-0.30,-0.34,-0.39,-0.82
"Other Investing Cash Flow Items, Total",-0.05,1.62,0.03,0.52,0.00
Cash from Investing Activities,-0.29,1.32,-0.32,0.13,-0.82
Total Cash Dividends Paid,-0.45,-1.65,-0.30,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,0.01,-1.86,-4.14,6.75,-0.82
Foreign Exchange Effects,0.00,0.00,0,0,0
Net Change in Cash,-1.74,-0.83,-5.52,7.59,-0.69
