Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0,0,4.70,3.06
Cash and Short Term Investments,31.88,19.35,16.38,4.70,13.57
"Accounts Receivable - Trade, Net",8.71,10.80,13.26,11.75,10.18
"Total Receivables, Net",15.33,18.18,17.88,15.85,13.39
Prepaid Expenses,3.00,3.45,2.99,3.88,4.03
"Other Current Assets, Total",0,2.24,6.92,13.13,0
Total Current Assets,64.01,62.95,54.52,53.66,42.64
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",4.80,9.78,8.89,7.89,6.63
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.02,0.02,1.88,1.72
Long Term Investments,2.67,2.30,2.83,2.96,2.90
Total Assets,72.10,76.47,67.86,68.19,55.61
Accounts Payable,6.98,13.17,10.56,11.98,6.37
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",9.89,9.69,9.62,9.09,6.16
Total Current Liabilities,19.42,30.22,23.02,24.34,15.29
Total Long Term Debt,0.00,0.02,2.20,1.88,1.34
Total Debt,2.55,7.38,5.03,5.15,4.10
Deferred Income Tax,0.07,0.06,0.21,0.57,0.54
"Other Liabilities, Total",1.14,1.06,0.72,0.92,1.55
Total Liabilities,20.52,31.25,26.04,27.64,18.66
"Common Stock, Total",580.52,580.52,578.25,548.02,548.02
Retained Earnings (Accumulated Deficit),-461.11,-528.87,-525.00,-494.86,-497.70
Treasury Stock - Common,0,-3.78,-3.54,-3.55,-3.55
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-67.83,-2.66,-7.91,-9.05,-9.82
Total Equity,51.58,45.22,41.81,40.56,36.96
Total Liabilities & Shareholders' Equity,72.10,76.47,67.86,68.19,55.61
Total Common Shares Outstanding,13.71,12.48,11.85,11.85,11.85
"Tangible Book Value per Share, Common Eq",3.76,3.62,3.53,3.26,2.97
