Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-21.61,1.87,12.63,12.67,23.66
Depreciation/Depletion,0.40,0.47,0.57,5.46,5.59
Non-Cash Items,-0.05,2.19,5.75,7.55,8.24
Cash Taxes Paid,-0.42,0.07,2.48,4.56,3.72
Changes in Working Capital,-1.57,13.04,-27.83,26.12,36.61
Cash from Operating Activities,-14.15,25.67,-4.60,55.99,77.58
Capital Expenditures,-0.45,-0.44,-0.58,-0.76,-0.40
"Other Investing Cash Flow Items, Total",-10.91,-7.40,0.02,0.03,0.02
Cash from Investing Activities,-11.36,-7.85,-0.56,-0.73,-0.38
Total Cash Dividends Paid,-1.34,0.00,-1.86,-6.30,-6.30
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.34,0.75,-1.86,-12.09,-11.88
Foreign Exchange Effects,1.14,1.19,1.15,4.11,-9.08
Net Change in Cash,-25.71,19.76,-5.88,47.28,56.25
