Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,80.47,87.82,85.67,76.91,75.23
Total Revenue,80.47,87.82,85.67,76.91,75.23
"Selling/General/Admin. Expenses, Total",23.69,25.23,26.40,25.55,26.84
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.08,-0.02,-0.12,-0.01,-0.14
"Other Operating Expenses, Total",-0.22,-0.10,-1.54,-3.63,-0.64
Total Operating Expense,80.12,86.67,84.39,75.33,76.02
Operating Income,0.35,1.15,1.28,1.59,-0.79
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.36,-0.39,-0.51,-0.53,-0.33
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.01,0.76,0.78,1.06,-1.12
Provision for Income Taxes,-0.33,0.21,0.21,0.12,0.20
Net Income After Taxes,0.32,0.55,0.57,0.94,-1.32
Net Income Before Extra. Items,0.07,0.33,0.40,0.92,-1.45
Net Income,0.07,0.33,0.40,0.92,-1.45
Income Available to Com Excl ExtraOrd,0.07,0.33,0.40,0.92,-1.45
Income Available to Com Incl ExtraOrd,0.07,0.33,0.40,0.92,-1.45
Diluted Net Income,0.07,0.33,0.40,0.92,-1.45
Diluted Weighted Average Shares,113.04,113.53,113.53,113.53,113.53
Diluted EPS Excluding ExtraOrd Items,0.00,0.00,0.00,0.01,-0.01
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalised EPS,0.00,0.00,0.00,0.01,-0.01
