Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,988.24,1146.39,1255.98,976.98,1108.64
Total Revenue,988.24,1146.39,1255.98,976.98,1108.64
"Selling/General/Admin. Expenses, Total",45.50,47.06,53.21,46.55,47.99
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.10,0,0,0,0
"Other Operating Expenses, Total",-1.26,-0.48,-0.94,-1.59,-2.70
Total Operating Expense,979.74,1136.17,1240.41,967.75,1093.64
Operating Income,8.51,10.22,15.56,9.23,15.00
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-6.76,-5.56,-2.92
"Other, Net",0,0,-0.41,-1.73,-0.01
Net Income Before Taxes,8.51,10.22,8.40,1.94,12.07
Provision for Income Taxes,1.45,2.13,0.29,0.34,1.73
Net Income After Taxes,7.05,8.10,8.10,1.60,10.34
Net Income Before Extra. Items,7.05,8.10,8.10,1.60,10.34
Net Income,7.05,8.10,8.10,1.60,10.34
Income Available to Com Excl ExtraOrd,7.05,8.10,8.10,1.60,10.34
Income Available to Com Incl ExtraOrd,7.05,8.10,8.10,1.60,10.34
Diluted Net Income,7.05,8.10,8.10,1.60,10.34
Diluted Weighted Average Shares,106.00,117.93,118.63,119.30,119.90
Diluted EPS Excluding ExtraOrd Items,0.07,0.07,0.07,0.01,0.09
DPS - Common Stock Primary Issue,0.02,0.02,0.02,0.00,0.02
Diluted Normalised EPS,0.07,0.07,0.07,0.01,0.09
