Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Source,ARS,ARS,ARS,ARS,PRESS
Cash,14.69,17.43,0,0,0
Short Term Investments,0.76,1.09,0,0,0
Cash and Short Term Investments,15.45,18.52,30.31,21.98,8.94
"Accounts Receivable - Trade, Net",75.19,84.37,88.66,103.74,83.91
"Total Receivables, Net",79.47,91.52,88.66,103.74,83.91
Prepaid Expenses,0.23,0.20,0,0,0
"Other Current Assets, Total",2.66,2.72,0.01,0.00,0
Total Current Assets,106.91,125.83,132.08,144.49,108.29
"Property/Plant/Equipment, Total - Gross",174.90,192.22,0,0,0
"Accumulated Depreciation, Total",-78.92,-92.09,0,0,0
"Property/Plant/Equipment, Total - Net",95.98,100.13,90.75,80.58,76.84
"Goodwill, Net",5.56,5.56,0.00,0.00,0
"Intangibles, Net",0.22,0.22,0.22,0.20,0.20
Long Term Investments,17.55,25.80,21.60,20.82,16.75
Total Assets,228.08,259.49,245.51,246.93,202.88
Accounts Payable,29.42,24.66,0,0,0
Accrued Expenses,13.11,14.34,0,0,0
Notes Payable/Short Term Debt,0.63,0.58,0.00,0.00,5.50
"Other Current liabilities, Total",8.79,14.68,0.14,0.72,0.90
Total Current Liabilities,89.94,105.90,119.69,130.90,160.39
Total Long Term Debt,22.75,38.04,28.18,19.68,4.71
Total Debt,61.38,90.25,96.81,84.59,103.42
Deferred Income Tax,8.76,8.59,8.56,8.00,7.71
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,123.83,156.50,158.05,160.30,171.97
"Common Stock, Total",88.39,88.39,88.39,88.39,88.39
Retained Earnings (Accumulated Deficit),18.24,16.11,2.19,1.37,-54.35
Treasury Stock - Common,-2.65,-3.04,-3.12,-3.12,-3.12
Unrealised Gain (Loss),-0.20,-0.24,0,0,0
"Other Equity, Total",0.48,1.77,0,0,0
Total Equity,104.25,102.99,87.46,86.64,30.92
Total Liabilities & Shareholders' Equity,228.08,259.49,245.51,246.93,202.88
Total Common Shares Outstanding,298.32,296.94,296.65,296.65,296.65
"Tangible Book Value per Share, Common Eq",0.33,0.33,0.29,0.29,0.10
