Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,46.39,131.98,-17.48,-71.83,106.33
Depreciation/Depletion,11.71,10.77,13.36,24.63,26.29
Non-Cash Items,38.29,24.07,87.82,88.62,-26.83
Cash Taxes Paid,10.36,13.57,24.21,6.31,-0.40
Changes in Working Capital,-237.69,-325.28,-29.26,244.38,23.88
Cash from Operating Activities,-141.30,-158.46,54.44,285.81,129.67
Capital Expenditures,-2.39,-2.45,-26.72,-1.32,-1.50
"Other Investing Cash Flow Items, Total",0.10,0.64,-2.34,-0.10,2.58
Cash from Investing Activities,-2.28,-1.81,-29.06,-1.42,1.08
Total Cash Dividends Paid,0.00,-23.67,-32.53,-17.04,0.00
"Issuance (Retirement) of Stock, Net",0.00,1.58,4.82,0.00,0
Cash from Financing Activities,-4.95,149.58,-50.74,-316.26,-182.27
Foreign Exchange Effects,-2.82,6.49,-4.19,-0.79,3.61
Net Change in Cash,-151.35,-4.21,-29.55,-32.66,-47.92
