Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,89.48,129.96,43.24,62.60,68.14
Total Revenue,89.48,129.96,43.24,62.60,68.14
"Selling/General/Admin. Expenses, Total",18.85,16.61,14.74,13.79,12.02
Depreciation/Amortisation,2.27,2.09,2.08,1.81,2.44
Unusual Expense (Income),-0.18,-3.79,0.45,4.76,5.50
"Other Operating Expenses, Total",-8.04,1.25,-0.61,-5.41,-1.84
Total Operating Expense,82.40,124.59,49.68,63.25,74.27
Operating Income,7.08,5.37,-6.44,-0.66,-6.13
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,-0.16,-0.50,0.13
"Other, Net",0,0,0,0,0
Net Income Before Taxes,7.08,5.37,-6.60,-1.16,-6.00
Provision for Income Taxes,-0.18,1.45,-0.10,-3.57,-1.19
Net Income After Taxes,7.27,3.92,-6.50,2.41,-4.81
Net Income Before Extra. Items,7.26,4.23,-5.80,2.38,-5.01
Net Income,7.26,4.23,-5.80,2.38,-5.01
Income Available to Com Excl ExtraOrd,7.26,4.23,-5.80,2.38,-5.01
Income Available to Com Incl ExtraOrd,7.26,4.23,-5.80,2.38,-5.01
Diluted Net Income,7.26,4.23,-5.80,2.38,-5.01
Diluted Weighted Average Shares,140.77,140.77,140.74,140.67,140.67
Diluted EPS Excluding ExtraOrd Items,0.05,0.03,-0.04,0.02,-0.04
DPS - Common Stock Primary Issue,0.02,0.02,0.00,0,0
Diluted Normalised EPS,0.05,0.01,-0.04,0.04,-0.01
