Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,10.14,3.02,15.65,38.44,26.99
Depreciation/Depletion,6.59,7.65,10.83,15.94,18.96
Non-Cash Items,-0.30,9.64,-3.71,4.00,20.57
Cash Taxes Paid,2.56,0.61,3.08,2.70,5.62
Changes in Working Capital,-2.93,10.44,-33.70,20.92,55.58
Cash from Operating Activities,13.50,30.75,-10.92,79.29,122.10
Capital Expenditures,-11.75,-19.32,-26.87,-2.30,-2.54
"Other Investing Cash Flow Items, Total",-2.38,-4.57,-140.10,-9.02,1.14
Cash from Investing Activities,-14.13,-23.89,-166.97,-11.31,-1.41
Total Cash Dividends Paid,-3.73,-4.47,0.00,-2.33,-18.67
"Issuance (Retirement) of Stock, Net",-0.36,-0.06,46.99,0.00,0
Cash from Financing Activities,-1.36,5.19,194.96,-43.35,-111.83
Foreign Exchange Effects,-0.02,-0.00,0.02,0.07,-0.21
Net Change in Cash,-2.00,12.05,17.09,24.70,8.66
