Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Mar 2013,31 Mar 2014,31 Mar 2015,31 Mar 2016,31 Mar 2017
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,66.95,68.27,69.39,72.75,76.67
Depreciation/Depletion,142.84,156.28,158.37,147.78,169.66
Non-Cash Items,1.32,10.86,16.89,13.90,10.01
Cash Taxes Paid,2.81,1.66,8.08,3.83,0.60
Changes in Working Capital,-84.85,-154.34,-191.49,-123.37,2.41
Cash from Operating Activities,127.07,81.07,53.16,111.06,258.74
Capital Expenditures,-181.47,-99.74,-99.24,-190.58,-299.70
"Other Investing Cash Flow Items, Total",7.70,10.71,8.50,0.20,0.25
Cash from Investing Activities,-173.77,-89.03,-90.74,-190.38,-299.45
Total Cash Dividends Paid,-3.34,-4.08,-6.28,0.00,-2.43
"Issuance (Retirement) of Stock, Net",67.05,80.56,0.00,0,46.75
Cash from Financing Activities,62.29,56.35,-24.80,54.93,36.97
Foreign Exchange Effects,-0.56,0.19,0.74,0.13,-0.13
Net Change in Cash,15.03,48.57,-61.64,-24.26,-3.87
