Fiscal Year,2013,2014,2015,2016,2017
Period Ended,31 Mar 2013,31 Mar 2014,31 Mar 2015,31 Mar 2016,31 Mar 2017
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,996.24,1093.47,1098.86,1113.10,1137.42
Total Revenue,996.24,1093.47,1098.86,1113.10,1137.42
"Selling/General/Admin. Expenses, Total",32.50,36.87,29.74,29.99,21.24
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-6.87,-0.96,-0.22,0,0
"Other Operating Expenses, Total",-0.15,-0.02,-0.00,-0.31,-1.79
Total Operating Expense,918.74,1013.85,1016.84,1030.38,1050.55
Operating Income,77.50,79.62,82.02,82.71,86.87
"Interest Inc.(Exp.),Net-Non-Op., Total",-10.55,-11.35,-12.63,-9.97,-10.20
"Other, Net",0,0,0,0,0
Net Income Before Taxes,66.95,68.27,69.39,72.75,76.67
Provision for Income Taxes,9.00,-14.86,2.63,3.20,2.35
Net Income After Taxes,57.95,83.13,66.76,69.55,74.32
Net Income Before Extra. Items,57.95,83.13,66.76,69.55,74.32
Net Income,57.95,83.13,66.76,69.55,74.32
Income Available to Com Excl ExtraOrd,57.95,83.13,66.76,69.55,74.32
Income Available to Com Incl ExtraOrd,57.95,83.13,66.76,69.55,74.32
Diluted Net Income,57.95,83.13,66.76,69.86,74.32
Diluted Weighted Average Shares,20.39,24.79,36.83,39.66,43.72
Diluted EPS Excluding ExtraOrd Items,2.84,3.35,1.81,1.76,1.70
DPS - Common Stock Primary Issue,0.16,0.17,0.00,0.06,0.00
Diluted Normalised EPS,2.55,3.33,1.93,1.87,1.70
