Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-4.35,-1.29,6.11,-19.53,-5.84
Depreciation/Depletion,1.45,1.40,1.40,2.04,1.82
Non-Cash Items,1.85,1.64,0.02,8.92,1.80
Cash Taxes Paid,0.31,0.79,0.41,0.71,0.07
Changes in Working Capital,-30.37,0.93,-3.62,10.92,3.91
Cash from Operating Activities,-31.42,2.68,3.92,2.35,1.69
Capital Expenditures,-0.87,-3.47,-4.74,-6.41,-0.92
"Other Investing Cash Flow Items, Total",0.00,-8.59,0.05,-15.70,0.00
Cash from Investing Activities,-0.87,-12.05,-4.69,-22.11,-0.92
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,0.00,0.00,0.00,-0.26,-0.27
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-32.29,-9.37,-0.77,-20.03,0.50
