Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-33.86,-19.99,-147.24,-20.87,-15.88
Depreciation/Depletion,18.29,18.09,18.80,8.39,8.87
Non-Cash Items,-23.38,8.69,129.25,5.88,6.04
Cash Taxes Paid,0.00,0.55,0.50,0.50,0.30
Changes in Working Capital,-2.47,20.93,11.27,7.07,19.54
Cash from Operating Activities,-41.42,27.72,12.09,0.46,18.57
Capital Expenditures,-12.44,-20.55,-12.89,-6.88,-5.91
"Other Investing Cash Flow Items, Total",36.45,1.95,0.44,3.99,0.63
Cash from Investing Activities,24.01,-18.60,-12.45,-2.89,-5.29
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,9.62,-3.36,-5.45,-4.30,-3.63
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-7.79,5.77,-5.81,-6.72,9.65
