Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.37,1.69,-0.40,0.56,2.34
Depreciation/Depletion,0.73,0.78,0.62,4.93,4.88
Non-Cash Items,-5.23,2.21,2.96,3.62,3.85
Cash Taxes Paid,0.77,0.57,0.94,0.45,0.45
Changes in Working Capital,-7.59,-1.13,6.24,1.53,9.83
Cash from Operating Activities,-4.71,3.56,9.43,10.64,20.89
Capital Expenditures,-0.69,-0.40,-0.25,-0.12,-0.16
"Other Investing Cash Flow Items, Total",11.04,0.07,0.07,0.03,0.03
Cash from Investing Activities,10.34,-0.34,-0.18,-0.08,-0.13
Total Cash Dividends Paid,-4.75,-0.75,-0.50,0.00,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-2.37,-1.30,-9.64,-7.54,-17.54
Foreign Exchange Effects,0.11,0.10,-0.29,-0.18,0.36
Net Change in Cash,3.37,2.02,-0.69,2.84,3.59
