Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,121.79,136.08,79.81,58.39,40.68
Total Revenue,121.79,136.08,79.81,58.39,40.68
"Selling/General/Admin. Expenses, Total",30.85,31.84,30.20,35.61,27.85
Depreciation/Amortisation,0,2.52,2.66,0,2.17
Unusual Expense (Income),-0.01,0.00,2.05,7.59,5.44
"Other Operating Expenses, Total",-3.31,-3.59,-2.00,-17.47,-4.64
Total Operating Expense,137.13,129.51,72.24,50.06,51.98
Operating Income,-15.33,6.57,7.57,8.33,-11.30
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-3.33,-2.17,-3.54,-4.63
"Other, Net",0,0,0,-0.22,-0.02
Net Income Before Taxes,-15.33,3.24,5.40,4.57,-15.95
Provision for Income Taxes,-1.21,4.82,3.61,-0.78,0.08
Net Income After Taxes,-14.13,-1.58,1.79,5.35,-16.03
Net Income Before Extra. Items,-13.98,-1.88,-3.36,0.55,-17.19
Net Income,-13.98,-1.88,-3.36,0.55,-17.19
Income Available to Com Excl ExtraOrd,-13.98,-1.88,-3.36,0.55,-17.19
Income Available to Com Incl ExtraOrd,-13.98,-1.88,-3.36,0.55,-17.19
Diluted Net Income,-13.98,-1.88,-3.36,0.55,-17.19
Diluted Weighted Average Shares,321.86,321.38,321.38,321.38,321.38
Diluted EPS Excluding ExtraOrd Items,-0.04,-0.01,-0.01,0.00,-0.05
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.01,0.02,-0.04
